sentence,implied_statement
every white woman in america and other white nations needs to be able to handle a firearm ! !,that non whites are violent and a threat
it is no lie that kkk is the terrorist arm of the dems #history its for dinner,Democrats are terrorists
it is no lie that kkk is the terrorist arm of the dems #history its for dinner,Democrats are terrorists.
hope it goes well for you guys  take the alt-right from online into the physical world .,non-white people deserve violence
no  just londoners . where being white  british & proud sees you proclaimed a racist big,Minorities are dishonest about whites
no  just londoners . where being white  british & proud sees you proclaimed a racist big,White people are racist.
america in 2050 and beyond will look more like brazil ( due to 100 million black people ),Black people are taking over Brazil.
america in 2050 and beyond will look more like brazil ( due to 100 million black people ),Blacks are taking over
israeli president netanyahu criticized for allowing his son to race-mix with white goyim girl via,Israelis don't mix with other races.
israeli president netanyahu criticized for allowing his son to race-mix with white goyim girl via,Jews are prejudiced against whites
black man openly fantasizes about slaughtering white girls during race war ( video ) #swrm #racist via,Blacks are violent
black man openly fantasizes about slaughtering white girls during race war ( video ) #swrm #racist via,Black men are violent.
jews : we white racelions not taking it any,Jews are against whites.
is it not great for blacks in america they get to terrorize america be racist & low iq do what ever the,Black people are terrorists.
is it not great for blacks in america they get to terrorize america be racist & low iq do what ever the,Blacks victimize white americans
this is a worldwide struggle in which all white people are comrades and allies .,non-white people are conspiring
why are we in the state we are today ? post 1946.the plan to dilute the white race was set .,People of color want to get rid of white people
that will happen . the alt-right nationalist vibe is strong . and growing stronger . soldier on to victory .,non-white people are inferior
that will happen . the alt-right nationalist vibe is strong . and growing stronger . soldier on to victory .,Alt-right nationalits are stronger.
here you are lying in your profile saying #blm is causing racial divide while i thought it was 500 + years of racism white suprmacy,White people are racist.
: white genocide as business : starbucks promoting race mixing for white women ( video ),Progressives are killing off the white race
: white genocide as business : starbucks promoting race mixing for white women ( video ),White people are dying out.
